
 iteration number 1 ; error 1.3461888260545127 ; parameters [0.62605836 0.49999404 0.78771907 1.         0.95439702] 

 iteration number 2 ; error 1.344199780075496 ; parameters [0.42264889 0.50379556 0.23764914 0.98103857 0.02836931] 

 iteration number 3 ; error 1.3233426392346168 ; parameters [0.42983063 0.49999533 0.23764914 1.         0.02836931] 

 iteration number 4 ; error 0.08324185686601958 ; parameters [0.49946637 0.49999533 0.46388334 0.51686926 0.04224674] 

 iteration number 5 ; error 0.005790156296687768 ; parameters [0.49992562 0.50030949 0.46388334 0.50114805 0.04224674] 

 iteration number 6 ; error 0.005790150229032604 ; parameters [0.49992562 0.50030949 0.5124611  0.50120296 0.75994311] 

 iteration number 7 ; error 0.005790149425746568 ; parameters [0.49992563 0.50030949 0.5124611  0.50120296 0.75994311] 

 iteration number 1 ; error 11.4743681959462 ; parameters [0.35282493 0.20523229 0.26902475 0.99757309 0.01779035] 

 iteration number 2 ; error 3.0654551754324473 ; parameters [0.70886585 0.56127322 0.49194914 0.35361402 0.37383128] 

 iteration number 3 ; error 1.3423301773423373 ; parameters [0.93014745 0.49999447 0.49194914 1.         0.37383128] 

 iteration number 4 ; error 0.6678563284237533 ; parameters [0.50762574 0.48383743 0.57360942 0.7438859  0.0301387 ] 

 iteration number 5 ; error 0.005789644801394143 ; parameters [0.4998459  0.49996932 0.57360942 0.49901375 0.0301387 ] 

 iteration number 1 ; error 10.677176836336178 ; parameters [0.01933815 0.22040408 0.37560548 0.98346582 0.09437227] 

 iteration number 2 ; error 2.0534405045295467 ; parameters [0.96340565 0.53595794 0.25076582 0.25935756 0.92987051] 

 iteration number 3 ; error 1.3414380074138985 ; parameters [0.97604718 0.49999332 0.25076582 1.         0.92987051] 

 iteration number 4 ; error 1.3111554034503226 ; parameters [0.54174564 0.50855676 0.304407   0.78144847 0.05990966] 

 iteration number 5 ; error 1.309391794741621 ; parameters [0.54174564 0.50855676 0.78296337 0.79404943 0.05990966] 

 iteration number 6 ; error 1.2325766754490273 ; parameters [0.54120905 0.50006338 0.78296337 1.         0.05990966] 

 iteration number 7 ; error 0.739578876316447 ; parameters [0.50765969 0.48897014 0.34132183 0.80493422 0.56803669] 

 iteration number 8 ; error 0.7263014648840277 ; parameters [0.50765969 0.48897014 0.18446431 0.95847358 0.56803669] 

 iteration number 9 ; error 0.006628435462746357 ; parameters [0.49999723 0.4997381  0.18446431 0.50076282 0.56803669] 

 iteration number 1 ; error 2.091533961769061 ; parameters [0.61226149 0.45939317 0.95498601 0.98814054 0.29128377] 

 iteration number 2 ; error 2.065376737655126 ; parameters [0.22597314 0.46551311 0.97181939 0.39738223 0.55450317] 

 iteration number 3 ; error 1.3175579205192034 ; parameters [0.26084177 0.49999479 0.97181939 1.         0.55450317] 

 iteration number 4 ; error 1.2513819029420385 ; parameters [0.49257627 0.49237125 0.25307352 0.97485932 0.20624826] 

 iteration number 5 ; error 0.004734609844713156 ; parameters [0.49977544 0.50050742 0.25307352 0.50680271 0.20624826] 

 iteration number 1 ; error 1.341681545618954 ; parameters [0.84432997 0.49999436 0.19431568 1.         0.01644235] 

 iteration number 2 ; error 1.1370116720194612 ; parameters [0.49310434 0.54648749 0.75585748 0.94644749 0.41777549] 

 iteration number 3 ; error 0.00553678419945136 ; parameters [0.50003926 0.49990697 0.75585748 0.49757769 0.41777549] 

 iteration number 1 ; error 6.797682471961727 ; parameters [0.79637538 0.6658955  0.12692777 0.27770802 0.3819421 ] 

 iteration number 2 ; error 5.319374954950253 ; parameters [0.69004069 0.6105327  0.07156497 0.22234523 0.27560741] 

 iteration number 3 ; error 3.2722879721934546 ; parameters [0.52488659 0.44537861 0.22342123 0.37420149 0.11045332] 

 iteration number 4 ; error 2.1920792611842295 ; parameters [0.62205751 0.54254952 0.73812401 0.88890427 0.84680624] 

 iteration number 5 ; error 2.0333905509777352 ; parameters [0.84822826 0.54254952 0.73812401 0.88890427 0.84680624] 

 iteration number 6 ; error 1.3438488469618908 ; parameters [0.78071328 0.49999628 0.73812401 1.         0.84680624] 

 iteration number 7 ; error 1.2155048098217764 ; parameters [0.48981134 0.50246819 0.77096342 0.95284746 0.35249467] 

 iteration number 8 ; error 0.005328545489009174 ; parameters [0.49990162 0.5000349  0.77096342 0.50348591 0.35249467] 

 iteration number 1 ; error 11.048229681478443 ; parameters [0.89874479 0.21099028 0.02927868 0.58587185 0.00591272] 

 iteration number 2 ; error 7.823464069286144 ; parameters [0.38988233 0.31407151 0.13235989 0.68895307 0.10899395] 

 iteration number 3 ; error 5.000617596848491 ; parameters [0.22928926 0.39201765 0.76754684 0.27672753 0.59003419] 

 iteration number 4 ; error 1.3410585598568483 ; parameters [0.29684327 0.49999395 0.76754684 1.         0.59003419] 

 iteration number 5 ; error 1.303276487660523 ; parameters [0.4630027  0.50028215 0.3742063  0.72994258 0.22110144] 

 iteration number 6 ; error 1.2322186375841195 ; parameters [0.45870728 0.49992505 0.3742063  1.         0.22110144] 

 iteration number 7 ; error 0.12020700664057095 ; parameters [0.50040047 0.49599229 0.07842966 0.81212542 0.5669885 ] 

 iteration number 8 ; error 0.11260799159001657 ; parameters [0.50040047 0.49599229 0.95862216 0.60742164 0.5669885 ] 

 iteration number 9 ; error 0.004748399155567233 ; parameters [0.5001527  0.4994973  0.95862216 0.50112696 0.5669885 ] 

 iteration number 10 ; error 0.004748387487520175 ; parameters [0.5001527  0.4994973  0.68929045 0.50116203 0.6194112 ] 

 iteration number 11 ; error 0.004748385001236427 ; parameters [0.50015273 0.49949731 0.68929045 0.50116203 0.6194112 ] 

